z,D_GR,D_SSZ,f_GR,f_SSZ,Hratio_SSZ/GR
0.0,1.0,1.0,0.26381889781482565,0.26381559776478014,1.0000099999999998
0.5,0.7688757244357913,0.7688784227476545,0.7612665099801519,0.7612558210789988,1.0000115331358665
1.0,0.6067213979732305,0.6067255743154666,0.8765138564226227,0.8765010241548743,1.0000121344279596
2.0,0.4171598254152175,0.41716496393836255,0.9581857162827001,0.9581713357809107,1.0000125147947625
5.0,0.21124999529361607,0.21125454349866593,0.9934484483575812,0.993433388505327,1.0000126749997176
10.0,0.11540576133695835,0.11540875929071592,0.9968631774870396,0.9968480546795888,1.000012694633747
