z,D_GR,D_SSZ,f_GR,f_SSZ,Hratio_SSZ/GR
0.0,1.0,1.0,0.26381889781482565,0.2638221979009575,0.999990000099999
0.5,0.7688757244357913,0.7688730261007423,0.7612665099801519,0.7612771990217482,0.9999884669971452
1.0,0.6067213979732305,0.6067172216062365,0.8765138564226227,0.8765266888577372,0.9999878657192829
2.0,0.4171598254152175,0.41715468688471624,0.9581857162827001,0.958200096971562,0.9999874853618557
5.0,0.21124999529361607,0.21124544711557044,0.9934484483575812,0.9934635084085652,0.999987325160936
10.0,0.11540576133695835,0.11540276341053174,0.9968631774870396,0.9968783005009918,0.9999873055274044
