z,D_GR,D_SSZ,f_GR,f_SSZ,Hratio_SSZ/GR
0.0,1.0,1.0,0.2638188978153808,0.2638155977653353,1.0000099999999998
0.5,0.7688757244357908,0.7688784227476567,0.7612665099737681,0.7612558210781661,1.0000115331358665
1.0,0.6067213979732304,0.6067255743154687,0.8765138564151287,0.8765010241587601,1.0000121344279596
2.0,0.4171598254152171,0.4171649639383639,0.9581857162799245,0.9581713357875721,1.0000125147947625
5.0,0.2112499952936158,0.21125454349866601,0.9934484483653527,0.9934333885075475,1.0000126749997176
10.0,0.11540576133695836,0.11540875929071594,0.9968631774937009,0.996848054690691,1.000012694633747
