z,D_GR,D_SSZ,f_GR,f_SSZ,Hratio_SSZ/GR
0.0,1.0,1.0,0.2638188978153808,0.2638221979015126,0.999990000099999
0.5,0.7688757244357908,0.7688730261007414,0.7612665099737681,0.7612771990173073,0.9999884669971452
1.0,0.6067213979732304,0.6067172216062361,0.8765138564151287,0.8765266888652312,0.9999878657192829
2.0,0.4171598254152171,0.4171546868847165,0.9581857162799245,0.9582000969754478,0.9999874853618557
5.0,0.2112499952936158,0.2112454471155713,0.9934484483653527,0.9934635084185572,0.999987325160936
10.0,0.11540576133695836,0.1154027634105323,0.9968631774937009,0.9968783005054327,0.9999873055274044
